,Df,id,Unnamed: 0.2,Unnamed: 0,Cd,Re,area,mass,vel,X,diam,ar,thick,anu,hab,d_off%,a_off%,ave_off%,num 1,num 2,rho,A_pix,scale,A_m,CH_pix,t_Re,t_Cd,tmp_idx
21,1.723306834,K11-31_traced.png,10,309,1.3677719,144.11191,4.53E-06,1.44E-07,0.629,28406.217,0.00332,52.289997,0.0034907,1.45E-05,"b'""R1D'",3.29563253,1.986754967,2.721064964,11,31,1.15,75921,12.81698,4.62E-06,172638,4.970590151,0.313183066,10
22,1.687241764,K13-16_traced.png,46,328,0.76434034,213.15767,4.98E-06,1.65E-07,0.85800004,34728.715,0.0036,48.969997,0.003629603,1.45E-05,"b'""R2B'",1.167888889,4.618473896,3.368550547,13,16,1.16,85633,12.81698,5.21E-06,207740,5.362032127,-0.268742118,46
23,1.778132115,K14-21_traced.png,28,390,0.8220302,97.32875,3.08E-06,3.88E-08,0.511,7786.998,0.00276,51.46,0.001384609,1.45E-05,"b'""R1D'",3.208115942,2.272727273,2.780044708,14,21,1.15,49433,12.81698,3.01E-06,61475,4.578094423,-0.195978145,28
24,1.865660897,K14-29_traced.png,0,79,1.657567,60.66381,1.28E-06,4.46E-08,0.598,6100.009,0.00147,75.53,0.003823589,1.45E-05,"b'""P1A'",2.924285714,3.125,3.026307316,14,29,1.15,20337,12.81698,1.24E-06,23699,4.105347309,0.505350865,0
25,1.868493756,K14-33_traced.png,7,263,1.9160804,81.231514,3.30E-06,5.79E-08,0.39499998,12643.369,0.00298,47.309998,0.001928437,1.45E-05,"b'""R1D'",2.342214765,1.818181818,2.096634819,14,33,1.15,55261,12.81698,3.36E-06,79165,4.397303275,0.650281641,7
26,1.876701826,K14-35_traced.png,20,369,1.4561332,146.05249,4.46E-06,1.25E-07,0.57199997,31061.26,0.0037,41.5,0.0030732,1.45E-05,"b'""R1D'",1.16572973,0.224215247,0.839404038,14,35,1.15,73170,12.81698,4.45E-06,124851,4.983966078,0.375784429,20
27,1.898867517,K15-01_traced.png,24,377,1.6784618,115.93933,5.26E-06,7.80E-08,0.38799998,22561.764,0.00433,35.69,0.001629944,1.45E-05,"b'""P1F'",1.644180139,1.330798479,1.495719379,15,1,1.15,85298,12.81698,5.19E-06,166131,4.753067037,0.517877779,24
28,1.88606269,K15-11_traced.png,50,427,1.7184509,121.65059,2.86E-06,9.20E-08,0.565,25431.125,0.00312,37.35,0.003538602,1.45E-05,"b'""P2C'",11.30567308,3.846153846,8.444262642,15,11,1.15,48838,12.81698,2.97E-06,117066,4.801152919,0.541423245,50
29,1.899630596,K17-01_traced.png,39,460,1.5547917,157.9636,7.55E-06,1.31E-07,0.436,38795.934,0.00525,34.86,0.001906527,1.45E-05,"b'""R1D'",2.601980952,0.927152318,1.953191785,17,1,1.15,125162,12.81698,7.62E-06,272224,5.062364627,0.441341582,39
30,1.873995378,K17-27_traced.png,26,383,0.97018176,146.44722,4.93E-06,9.20E-08,0.57199997,20807.283,0.00371,45.649998,0.002047589,1.45E-05,"b'""P6C'",1.575148248,2.028397566,1.815969258,17,27,1.15,82693,12.81698,5.03E-06,137872,4.986665091,-0.030271844,26
31,1.883447319,K17-29_traced.png,53,457,1.1501176,114.25549,6.00E-06,5.79E-08,0.378,15014,0.00438,39.84,0.001060043,1.45E-05,"b'""P6D'",8.17913242,2.833333333,6.120701958,17,29,1.15,101438,12.81698,6.17E-06,182799,4.738437081,0.139864198,53
32,1.88923153,K17-33_traced.png,32,420,1.4794999,113.15409,3.16E-06,6.54E-08,0.48799998,18943.293,0.00336,35.69,0.002272753,1.45E-05,"b'""P2C'",1.962261905,1.898734177,1.93075934,17,33,1.15,52923,12.81698,3.22E-06,107012,4.728750518,0.391704125,32
33,1.901804662,K17-35_traced.png,54,422,1.7974099,113.2866,4.42E-06,8.71E-08,0.432,23067.695,0.0038,39.01,0.002163776,1.45E-05,"b'""P1E'",12.76160526,9.954751131,11.44455414,17,35,1.15,65324,12.81698,3.98E-06,172634,4.729920891,0.586346684,54
34,1.669886214,K18-03_traced.png,13,318,2.2498434,78.72093,3.49E-06,6.95E-08,0.38799998,13942.246,0.00294,51.46,0.002184809,1.45E-05,"b'""P2C'",0.737959184,1.146131805,0.96389882,18,3,1.15,58015,12.81698,3.53E-06,140728,4.365909067,0.810860614,13
35,1.854165053,K18-23_traced.png,4,250,1.1049871,91.076454,3.94E-06,3.61E-08,0.376,9165.781,0.00351,40.67,0.001007698,1.45E-05,"b'""P6C'",0.216951567,2.030456853,1.443922265,18,23,1.15,63349,12.81698,3.86E-06,111629,4.511699308,0.099833661,4
36,1.662027541,K19-09_traced.png,2,220,2.0701175,107.97836,6.37E-06,9.70E-08,0.354,24136.178,0.00442,41.5,0.001673398,1.45E-05,"b'""P1E'",0.351176471,0.627943485,0.508742535,19,9,1.15,105340,12.81698,6.41E-06,293760,4.681930837,0.727605369,2
37,1.869773792,K21-07_traced.png,51,254,1.4508286,130.29063,5.11E-06,9.70E-08,0.472,24628.756,0.004,40.67,0.00208496,1.45E-05,"b'""P6C'",16.720175,2.152641879,11.92053101,21,7,1.15,82060,12.81698,5.00E-06,204400,4.869767571,0.372134841,51
38,1.869410008,K21-15_traced.png,44,301,0.5206552,124.934074,5.11E-06,2.87E-08,0.42900002,8126.6587,0.00422,36.52,0.000618105,1.45E-05,"b'""R1D'",11.70755924,9.197651663,10.52767162,21,15,1.15,76223,12.81698,4.64E-06,199033,4.82778619,-0.652667261,44
39,1.861315342,K21-19_traced.png,34,426,1.4688174,98.63718,2.47E-06,6.54E-08,0.554,14290.555,0.00258,47.309998,0.002907938,1.45E-05,"b'""P2C'",1.186007752,0.809716599,1.015444572,21,19,1.15,40838,12.81698,2.49E-06,76170,4.59144827,0.384457587,34
40,1.867865423,K21-25_traced.png,15,348,1.1621186,129.41904,5.44E-06,9.70E-08,0.511,19464.658,0.00367,51.46,0.001957447,1.45E-05,"b'""R1D'",0.790163488,2.941176471,2.15347131,21,25,1.15,86740,12.81698,5.28E-06,130055,4.863055512,0.150244719,15
41,1.863617555,K21-27_traced.png,19,363,1.4270169,155.86705,5.99E-06,1.31E-07,0.511,34668.715,0.00442,39.01,0.002403635,1.45E-05,"b'""P2B'",3.440271493,2.170283806,2.876247533,21,27,1.15,96198,12.81698,5.86E-06,193623,5.0490034,0.355586181,19
42,1.826904073,K22-17_traced.png,30,412,1.7575254,81.85261,2.41E-06,4.16E-08,0.409,11775.156,0.0029,36.52,0.00189647,1.45E-05,"b'""P6D'",1.047206897,0.829875519,0.944811002,22,17,1.15,39267,12.81698,2.39E-06,69113,4.404920191,0.563906797,30
43,1.872761069,K22-22_traced.png,40,192,2.8804739,64.67605,2.26E-06,4.16E-08,0.32999998,12048.997,0.00284,35.69,0.002023436,1.45E-05,"b'""P1E'",5.823521127,14.60176991,11.1158689,22,22,1.15,31730,12.81698,1.93E-06,60632,4.169390963,1.057954829,40
44,1.805989993,K22-28_traced.png,35,438,1.8032738,81.13076,1.52E-06,5.44E-08,0.582,11869.509,0.00202,47.309998,0.003940082,1.45E-05,"b'""P2F'",0.578217822,0,0.408861743,22,28,1.15,25045,12.81698,1.52E-06,35990,4.396062174,0.589603791,35
45,1.840712992,K22-30_traced.png,31,415,1.5592405,109.78089,5.04E-06,6.95E-08,0.38799998,18791.723,0.0041,38.18,0.001514168,1.45E-05,"b'""P1E'",1.542121951,5.357142857,3.941898001,22,30,1.15,78402,12.81698,4.77E-06,123336,4.69848647,0.444198844,31
46,1.840308412,K22-32_traced.png,8,280,2.1965427,61.015766,2.76E-06,3.35E-08,0.307,8177.5615,0.00288,42.329998,0.001335408,1.45E-05,"b'""P1E'",2.86375,0.724637681,2.088799156,22,32,1.15,44981,12.81698,2.74E-06,84940,4.11113229,0.786884624,8
47,1.884154655,K22-34_traced.png,43,294,0.51530606,244.5392,6.68E-06,1.19E-07,0.76699996,30815.004,0.00462,39.84,0.001955481,1.45E-05,"b'""R2B'",12.91162338,13.32335329,13.11910365,22,34,1.15,95120,12.81698,5.79E-06,263866,5.499375623,-0.662994264,43
48,1.851451631,K23-03_traced.png,14,319,2.5146577,81.41094,1.89E-06,6.16E-08,0.47,16666.502,0.00251,38.18,0.00358321,1.45E-05,"b'""R1D'",1.894223108,3.174603175,2.614018601,23,3,1.15,32113,12.81698,1.95E-06,51253,4.399509662,0.922136691,14
49,1.808898169,K23-07_traced.png,17,360,1.2718786,191.5079,7.39E-06,1.87E-07,0.583,46646.5,0.00476,41.5,0.002788562,1.45E-05,"b'""P6D'",2.866512605,10.41948579,7.641419327,23,7,1.15,133991,12.81698,8.16E-06,221878,5.254929061,0.24049502,17
50,1.816340231,K23-11_traced.png,11,310,1.9400045,94.94101,2.18E-06,8.71E-08,0.593,17486.803,0.00232,51.46,0.004400579,1.45E-05,"b'""P2G'",0.354439655,1.834862385,1.321428667,23,11,1.15,35113,12.81698,2.14E-06,57564,4.553255751,0.662690293,11
51,1.873811951,K23-15_traced.png,1,187,2.8078315,66.28259,2.09E-06,4.16E-08,0.348,12335.877,0.00276,34.86,0.002193447,1.45E-05,"b'""P1C'",8.410326087,0.956937799,5.985370283,23,15,1.15,34669,12.81698,2.11E-06,91496,4.193927268,1.032412477,1
52,1.845484257,K23-19_traced.png,38,456,1.7003859,106.16892,4.32E-06,6.16E-08,0.378,19166.479,0.00407,33.2,0.001567216,1.45E-05,"b'""P1E'",2.291007371,3.240740741,2.806342399,23,19,1.15,73326,12.81698,4.46E-06,142379,4.665031411,0.530855225,38
53,1.831230044,K23-33_traced.png,18,362,1.5491215,132.14699,4.66E-06,1.02E-07,0.49099997,27052.04,0.0039,39.01,0.002409052,1.45E-05,"b'""P6D'",1.287923077,1.716738197,1.517553276,23,33,1.15,77896,12.81698,4.74E-06,134053,4.883914864,0.437687996,18
54,1.776621647,K24-29_traced.png,16,358,1.3073831,120.93012,1.90E-06,1.08E-07,0.85899997,19119.293,0.00204,58.1,0.006222815,1.45E-05,"b'""R2B'",0.8925,2.631578947,1.964912722,24,29,1.16,30428,12.81698,1.85E-06,39923,4.795212858,0.268027506,16
