,por,sar,sph,lsph,csph,Acrat,Alrat,Cdout,massout,Rhos,Rhoc,Rhol,id,Cd,Re,mass
0,0.1328917145729065,0.45436525344848633,0.2833097577095032,0.2816163897514343,2.483577787876129,0.04318769462406635,0.6519562751054764,1.4416775703430176,6.745481187821614e-08,90.62444149212904,158.7754321039339,124.2620455738852,K19-09_traced.png,2.0701175,107.97836,9.7e-08
1,0.05692540481686592,0.4438598155975342,0.31278324127197266,0.2768615484237671,1.5844084471464157,0.06602785550057888,0.5447832494974136,1.778193712234497,5.366207535403365e-08,514.7920109812927,1124.9851005187784,588.9756703237314,K22-28_traced.png,1.8032738,81.13076,5.44e-08
2,0.036051902920007706,0.4668395519256592,0.32374826073646545,0.26312100887298584,1.6748522520065308,0.07417362369596958,0.48264822363853455,1.2949762344360352,1.2243330324089356e-07,205.9660660727397,339.56771358346765,244.08511737891862,K17-27_traced.png,0.97018176,146.44722,9.2e-08
3,0.035273920744657516,0.4696103036403656,0.3202666640281677,0.25460419058799744,1.6560348570346832,0.07072024047374725,0.4718867540359497,1.4688043594360352,7.380701480358019e-08,94.82782136581503,166.56630838307154,113.84604969608249,K17-29_traced.png,1.1501176,114.25549,5.79e-08
4,0.11902853101491928,0.449751079082489,0.2918284833431244,0.29086771607398987,2.2613518238067627,0.04953920468688011,0.648504450917244,1.4343228340148926,6.378810383226231e-08,114.70619625138482,199.8730956956492,151.53172768794863,K22-30_traced.png,1.5592405,109.78089,6.95e-08
5,0.18456482887268066,0.4401852786540985,0.3125764727592468,0.3094409704208374,0.968768522143364,0.15290168300271034,0.6048284322023392,1.7996690273284912,7.642594690932955e-08,109.76280173132713,144.01175000439468,123.24464369066273,K06-13_traced.png,1.8319066,109.70912,7.8e-08
6,0.046580005437135696,0.4601247310638428,0.33160293102264404,0.28999972343444824,1.7044286131858826,0.08531565964221954,0.5087366849184036,1.5805931091308594,5.065934264905582e-08,125.24848013552386,172.73697086636656,139.6023883812622,K06-29_traced.png,1.6920638,93.23232,5.44e-08
7,0.12679031491279602,0.443086177110672,0.3082205057144165,0.30850860476493835,1.886285662651062,0.06516169756650925,0.6088753491640091,1.2289906740188599,1.1267201139172844e-07,140.87762125161888,237.08945210807937,159.19918768237432,K21-27_traced.png,1.4270169,155.86705,1.31e-07
8,0.20277078449726105,0.43989986181259155,0.3112626373767853,0.3252527415752411,1.4547145366668701,0.10862312838435173,0.630678579211235,1.308149814605713,1.277253476232126e-07,117.39134620711015,139.04510981574253,130.8341331876626,K06-03_traced.png,1.4707139,162.64246,1.44e-07
9,0.050445590168237686,0.45794183015823364,0.33593544363975525,0.3028978109359741,1.7195672690868378,0.09291299991309643,0.5193242579698563,1.6752526760101318,3.95861090079152e-08,179.09158127944224,220.24698569204716,194.77182467228627,K22-17_traced.png,1.7575254,81.85261,4.16e-08
